oldid,genre_ids,id,popularity,title,revenue
8566,"[14, 12, 10751]",68728,42.921,Oz the Great and Powerful,491868548
1939,"[10751, 14, 12, 28]",420809,84.061,Maleficent: Mistress of Evil,491730089
2744,"[18, 878, 10752]",281338,64.832,War for the Planet of the Apes,490719763
819,"[16, 35, 14, 12, 10751]",808,139.172,Shrek,487853320
4941,"[28, 35, 18, 53]",787,31.246,Mr. & Mrs. Smith,487287646
4859,"[53, 9648]",13448,51.418,Angels & Demons,485930816
8562,"[878, 28, 12, 35]",98566,76.86,Teenage Mutant Ninja Turtles,485004754
4764,"[16, 12, 35, 10751]",46195,79.187,Rio,484635760
4840,"[14, 35]",310,41.96,Bruce Almighty,484592874
2201,"[53, 28, 18, 878]",61791,56.918,Rise of the Planet of the Apes,482860185
139,"[18, 36, 10752]",857,54.972,Saving Private Ryan,481840909
1780,"[35, 10751]",771,11.411,Home Alone,476684675
3236,"[12, 35, 10751, 14]",118,109.75,Charlie and the Chocolate Factory,474968763
573,"[12, 28]",89,52.635,Indiana Jones and the Last Crusade,474171806
7175,"[28, 18, 53]",254128,79.344,San Andreas,473990832
4334,"[16, 35, 10751, 14]",159824,54.44,Hotel Transylvania 2,473226958
3964,"[27, 14]",474350,117.268,It Chapter Two,473122525
2035,"[10751, 16, 35, 12]",82690,71.358,Wreck-It Ralph,471222889
945,"[27, 53, 12]",578,42.61,Jaws,470653000
788,"[28, 14, 878]",399566,154.209,Godzilla vs. Kong,470067014
2089,[35],18785,89.339,The Hangover,469310836
1675,"[12, 16, 35, 10751, 14]",137106,34.323,The Lego Movie,469160692
4761,"[28, 12, 878]",424783,82.099,Bumblebee,467989645
1988,"[28, 12, 878]",54138,35.632,Star Trek Into Darkness,467365246
136,"[28, 18, 12]",98,58.382,Gladiator,465361176
143,"[28, 878]",603,61.503,The Matrix,463517383
1656,"[10749, 35]",114,44.529,Pretty Woman,463406268
3886,"[16, 12, 35, 10751]",920,64.781,Cars,461983149
6292,"[12, 28, 878, 53]",36668,1.955,X-Men: The Last Stand,459359555
6762,"[28, 12, 9648, 53]",6637,27.304,National Treasure: Book of Secrets,459242249
6178,"[28, 878]",240832,53.655,Lucy,458863600
3616,"[12, 28, 53]",954,32.757,Mission: Impossible,457731198
1160,"[18, 28, 10752]",616,32.137,The Last Samurai,456758981
1655,"[53, 80]",161,39.683,Ocean's Eleven,450717150
4460,"[12, 14, 28]",10195,92.129,Thor,449326618
3662,"[28, 10752, 36, 10749, 18]",676,34.316,Pearl Harbor,449220945
1722,"[10751, 12, 16, 18]",37135,71.545,Tarzan,448191819
481,"[35, 18, 10749, 10402]",313369,30.134,La La Land,447407695
6513,"[28, 12, 35, 878]",608,37.776,Men in Black II,445135288
6640,"[12, 28, 14]",1734,54.257,The Mummy Returns,443280904
9305,"[35, 10751, 16, 14, 10402]",23398,46.253,Alvin and the Chipmunks: The Squeakquel,443140005
1685,"[28, 18, 9648, 53]",2503,31.295,The Bourne Ultimatum,442824138
1951,"[36, 18]",82695,19.707,Les Misérables,441809770
790,[27],9552,57.904,The Exorcist,441306145
2612,"[35, 18, 10751]",788,28.542,Mrs. Doubtfire,441286195
8507,"[878, 28, 53, 12]",87101,92.896,Terminator Genisys,440603537
7548,"[28, 53, 878]",296,45.104,Terminator 3: Rise of the Machines,435000000
1330,"[18, 10749, 10402]",332562,35.598,A Star Is Born,433888866
6521,"[28, 12, 14]",68735,37.947,Warcraft,433677183
3538,"[28, 12, 14]",447404,71.276,Pokémon Detective Pikachu,433005346
419,[18],316029,32.093,The Greatest Showman,432844677
944,"[28, 12, 14]",566525,151.299,Shang-Chi and the Legend of the Ten Rings,432243292
8309,"[12, 28, 53]",36669,25.778,Die Another Day,431971116
926,"[12, 18]",8358,37.086,Cast Away,429632142
6072,"[28, 12, 878]",427641,70.019,Rampage,428028233
92,"[18, 35]",77338,61.158,The Intouchables,426588510
2686,"[53, 28, 80]",38700,69.452,Bad Boys for Life,426505244
173,"[18, 37]",68718,49.668,Django Unchained,425368238
4797,"[12, 28, 53, 878]",605,42.096,The Matrix Revolutions,424988211
768,"[10749, 10751, 16, 14]",10020,81.633,Beauty and the Beast,424967620
527,"[12, 18, 37]",581,29.667,Dances with Wolves,424208848
2668,"[28, 12, 10752]",1271,42.132,300,422610419
5229,"[12, 10751, 14]",2454,57.045,The Chronicles of Narnia: Prince Caspian,419665568
3990,"[12, 28, 14]",564,64.764,The Mummy,415885488
6187,"[12, 10751, 14]",10140,49.415,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217
6728,"[28, 53]",324668,27.457,Jason Bourne,415484914
6361,"[28, 878, 12, 14]",76170,9.864,The Wolverine,415440673
5370,"[35, 18, 10749]",4564,50.405,Sex and the City,415252786
965,"[80, 35, 28, 12]",207703,57.107,Kingsman: The Secret Service,414351546
764,"[18, 36]",45269,21.557,The King's Speech,414211549
7606,"[12, 14, 28, 35, 10751]",18360,36.762,Night at the Museum: Battle of the Smithsonian,413106170
2515,"[14, 28, 80]",268,44.041,Batman,411348924
4950,"[53, 28, 18, 10402, 10749]",619,28.214,The Bodyguard,411006740
3483,"[28, 12, 35, 878, 80]",343668,51.335,Kingsman: The Golden Circle,410902662
9601,"[14, 53, 28, 12, 27]",282035,32.449,The Mummy,409231607
7881,"[12, 16, 10751, 35, 878]",278154,51.343,Ice Age: Collision Course,408579038
5005,"[18, 53, 878, 9648]",2675,26.985,Signs,408247917
3298,"[12, 28, 878]",36658,1.797,X2,407711549
4050,"[28, 878, 12]",68726,91.302,Pacific Rim,407602906
320,"[16, 12, 35]",438695,212.326,Sing 2,406000000
4243,"[14, 12, 28]",338953,243.037,Fantastic Beasts: The Secrets of Dumbledore,405161334
2539,"[28, 878, 12]",399579,60.192,Alita: Battle Angel,404980000
9714,"[12, 28, 14]",1735,41.879,The Mummy: Tomb of the Dragon Emperor,403449830
5750,"[878, 12, 9648]",70981,68.128,Prometheus,403354469
330,"[18, 10752, 10749]",770,29.59,Gone with the Wind,402352579
3285,"[878, 28, 12]",524434,161.742,Eternals,402064899
964,"[28, 12, 10751, 35]",675353,465.592,Sonic the Hedgehog 2,401800000
3050,"[28, 12]",335787,210.199,Uncharted,401748820
562,"[878, 12]",438631,112.976,Dune,400671789
6141,"[12, 28, 878]",20526,47.36,TRON: Legacy,400062763
4778,"[12, 28, 53]",956,38.767,Mission: Impossible III,398479497
8256,"[12, 14, 18]",58595,38.014,Snow White and the Huntsman,396600000
2759,"[35, 10749]",458423,26.788,Mamma Mia! Here We Go Again,395044706
6829,"[14, 18, 10749]",8966,96.183,Twilight,393616788
5453,"[878, 12, 28]",348350,45.63,Solo: A Star Wars Story,392952373
279,"[80, 18, 35]",106646,98.25,The Wolf of Wall Street,392000000
9125,"[878, 28, 12]",1452,33.986,Superman Returns,391081192
4132,"[28, 12, 18, 10749]",8367,30.649,Robin Hood: Prince of Thieves,390493908
426,"[12, 28]",85,58.54,Raiders of the Lost Ark,389925971
6245,"[35, 14, 12]",334298,22.061,Monster Hunt,387053506
4930,"[878, 28]",373571,72.152,Godzilla: King of the Monsters,386600138
1603,"[878, 28, 12]",13475,48.273,Star Trek,385680446
2113,"[28, 14, 878]",436270,11752.795,Black Adam,384571691
7487,"[16, 35, 10751]",9836,57.258,Happy Feet,384335608
4098,"[16, 12, 35, 10751]",260514,92.032,Cars 3,383925276
5332,"[28, 53]",1571,36.125,Live Free or Die Hard,383531464
1977,"[16, 35, 10751, 12]",425,110.568,Ice Age,383257136
7268,"[16, 10751, 12, 878]",15512,50.028,Monsters vs Aliens,381509870
78,"[12, 35, 878]",105,65.771,Back to the Future,381109762
1756,"[28, 12, 878]",497698,107.792,Black Widow,379751655
9396,"[878, 28, 53]",929,37.774,Godzilla,379014294
3198,"[28, 53]",36955,28.635,True Lies,378882411
1140,"[28, 12, 878]",76341,70.726,Mad Max: Fury Road,378858340
5789,"[18, 10749]",341174,61.887,Fifty Shades Darker,378827494
765,"[18, 10749]",12405,29.615,Slumdog Millionaire,378410542
6623,"[28, 80, 53]",82675,63.198,Taken 2,376141306
35,"[28, 12, 16, 878]",324857,96.244,Spider-Man: Into the Spider-Verse,375540831
344,"[10752, 18, 28, 36]",530915,47.094,1917,374733942
1595,"[35, 18, 53]",466272,47.219,Once Upon a Time… in Hollywood,374251247
847,"[28, 80, 18]",272,48.437,Batman Begins,374218673
6230,"[35, 10749]",3981,29.091,What Women Want,374111707
362,"[16, 12, 10751, 35]",862,131.666,Toy Story,373554033
5729,"[10751, 16, 12, 35]",270946,75.242,Penguins of Madagascar,373552094
7001,"[12, 28, 53, 878]",2080,6.93,X-Men Origins: Wolverine,373062864
7965,"[12, 14]",2268,26.617,The Golden Compass,372234864
4021,"[12, 16, 9648]",17578,33.129,The Adventures of Tintin,371940071
9426,"[878, 12, 28, 53]",72559,33.639,G.I. Joe: Retaliation,371876278
8013,"[28, 878, 53]",534,62.672,Terminator Salvation,371353001
3446,"[28, 12, 878]",1771,53.149,Captain America: The First Avenger,370569774
1060,"[28, 878]",137113,50.098,Edge of Tomorrow,370541256
5412,"[10749, 35]",544,27.514,There's Something About Mary,369884651
473,"[9648, 53, 18]",210577,58.419,Gone Girl,369330363
1534,"[28, 53, 18]",5503,24.805,The Fugitive,368875760
4418,"[14, 35, 16, 878, 10751]",228161,37.171,Home,368871007
7647,"[12, 28, 53, 878]",331,2.26,Jurassic Park III,368780809
5921,"[35, 18, 10749]",8346,12.547,My Big Fat Greek Wedding,368744044
4774,"[18, 10749]",337167,87.676,Fifty Shades Freed,368307760
5583,"[35, 18, 10749]",8488,28.571,Hitch,368100420
8016,"[16, 28, 35, 10751]",10555,49.409,Shark Tale,367275019
2365,"[28, 53]",1572,36.64,Die Hard: With a Vengeance,366101666
3206,"[28, 35, 14]",287947,91.416,Shazam!,366080049
8718,"[27, 9648, 53]",439079,75.696,The Nun,365550119
2280,"[10749, 35, 18]",509,22.164,Notting Hill,363889678
3560,"[12, 16, 35, 10751]",9487,63.741,A Bug's Life,363258859
7279,"[12, 35, 14, 10751]",181533,49.995,Night at the Museum: Secret of the Tomb,363204635
4973,"[28, 80, 18, 53]",13804,15.089,Fast & Furious,363164265
2487,"[28, 53, 878]",577922,64.815,Tenet,363129000
5502,"[53, 80]",163,22.556,Ocean's Twelve,362744280
9316,"[18, 12]",86834,32.612,Noah,362637473
9107,"[53, 878, 28, 12]",869,41.884,Planet of the Apes,362211740
7174,[35],109439,66.433,The Hangover Part III,362000072
6962,"[12, 28, 53]",36643,27.757,The World Is Not Enough,361832400
8840,"[35, 10751, 14, 16]",6477,47.587,Alvin and the Chipmunks,361366633
5751,"[28, 12, 18, 10751]",38575,61.236,The Karate Kid,359126022
